Description	Address	Last Update	Language	License	Star	Topics	Issues Need Help
#武汉加油 #wuhan-support 用于微信公众号的疫情信息推送机器人	https://github.com/wuhan-support/robot-official	2020-02-05 17:50:14 HKT+0800	Python	GPL-3.0 license	7	wechat-bot, ncov, wuhan-pneumonia, wuhan-support	0
用于新型冠状病毒肺炎疫情期间，帮助政府及相关管理人员管理隔离人员的体温。隔离人员通过系统每日报告体温，管理人员查看被隔离人员的体温是否正常，以及所有隔离人员的统计数据。	https://github.com/zylu/tiwenjiance	2020-02-05 17:49:38 HKT+0800	None	None	0	None	0
记录自2019年12月起武汉新冠肺炎疫情进展的时间线，尽可能搜集信息，因为假若敏感内容，墙内容易炸号，故置于此。	https://github.com/Pratitya/wuhan2020-timeline	2020-02-05 17:49:23 HKT+0800	None	None	298	china, wuhan, ncov, ncov-data-visual, wuhan-pneumonia, ncov-map, wuhan-coronavirus-outbreak, wuhan-coronavirus, wuhan-virus, wuhan2020, ncov-2019	1
新型冠状病毒防疫信息收集平台	https://github.com/wuhan2020/wuhan2020	2020-02-05 17:48:24 HKT+0800	None	MIT license	5.1k	None	2
中国新型冠状病毒肺炎地级市疫情图	https://github.com/lispczz/pneumonia	2020-02-05 17:47:14 HKT+0800	JavaScript	MIT license	279	None	0
2019新型冠状病毒疫情时间序列数据仓库	https://github.com/BlankerL/DXY-2019-nCoV-Data	2020-02-05 17:43:42 HKT+0800	Python	None	261	data-warehouse, 2019-ncov	0
Django based on the Chinese epidemic data screen, China go! Come on wuhan!	https://github.com/DooBeDooBa/ScreenData	2020-02-05 17:42:03 HKT+0800	Python	BSD-2-Clause license	0	None	0
Map, data and timeline of coronavirus (2019-nCoV)	https://github.com/sorxrob/2019-ncov-frontend	2020-02-05 17:41:17 HKT+0800	Vue	None	34	None	0
#武汉加油 #wuhan-support 历史数据集与数据自动获取	https://github.com/wuhan-support/dataset	2020-02-05 17:39:08 HKT+0800	Python	GPL-3.0 license	14	ncov, wuhan-pneumonia, wuhan-support	0
All rights reserved | Prawira Genestonlia	https://github.com/PrawiraGenestonlia/anti-coronavirus-backend	2020-02-05 17:38:54 HKT+0800	JavaScript	None	0	None	0
加油，武汉	https://github.com/JinggeSun/RefuelingWuhan-	2020-02-05 17:38:54 HKT+0800	Java	None	0	None	0
2019武汉肺炎数据分析	https://github.com/shoppingzh/2019-ncov	2020-02-05 17:38:34 HKT+0800	None	None	0	None	0
data from multiple sources	https://github.com/nyem69/coronavirus_data	2020-02-05 17:38:34 HKT+0800	None	MIT license	0	coronavirus	0
2019新型冠状病毒疫情实时爬虫	https://github.com/BlankerL/DXY-2019-nCoV-Crawler	2020-02-05 17:38:24 HKT+0800	Python	MIT license	563	crawler, realtime-api, 2019-ncov	0
记录对于2019-ncov的发现、识别、防疫、治愈、相关方法、药物信息。	https://github.com/newpneumonia/2019ncov	2020-02-05 17:36:55 HKT+0800	None	None	0	None	0
sars疫情展示的页面，数据源拉取的腾讯的数据	https://github.com/patienceroll/sars-situation	2020-02-05 17:36:38 HKT+0800	JavaScript	None	0	None	0
Tracking coronavirus: Map, data of "Wuhan nCov 2019"	https://github.com/ThinkGeo/Coronavirus-Wuhan-nCoV-2019	2020-02-05 17:35:57 HKT+0800	JavaScript	BSD-2-Clause license	0	None	0
Map, data and timeline of coronavirus (2019-nCoV)	https://github.com/sorxrob/2019-ncov-api	2020-02-05 17:35:19 HKT+0800	JavaScript	None	10	None	0
wuhan2020-test	https://github.com/wuhan2020/wuhan2020-test	2020-02-05 17:34:13 HKT+0800	None	None	0	None	0
